Group.1,Group.2,Experiment
4,38,FBgn0028852 Gresistance
7,65,FBgn0028852 Gresistance
8,37,FBgn0028852 Gresistance
6,33,FBgn0028852 Gresistance
10,49,FBgn0028852 Gresistance
3,51,FBgn0028852 Gresistance
1,11,FBgn0028852 Gresistance
6,35,FBgn0028852 Gresistance
10,48,FBgn0028852 Gresistance
4,15,FBgn0028852 Gresistance
8,55,FBgn0028852 Gresistance
7,40,FBgn0028852 Gresistance
7,28,FBgn0028852 Gresistance
3,19,FBgn0028852 Gresistance
5,26,FBgn0028852 Gresistance
3,16,FBgn0028852 Gresistance
4,52,FBgn0028852 Gresistance
7,31,FBgn0028852 Gresistance
4,57,FBgn0028852 Gresistance
12,60,FBgn0028852 Gresistance
12,57,FBgn0028852 Gresistance
0,20,FBgn0028852 Gresistance
1,4,FBgn0028852 embryo
11,9,FBgn0028852 embryo
13,14,FBgn0028852 embryo
10,11,FBgn0028852 embryo
9,13,FBgn0028852 embryo
6,4,FBgn0028852 embryo
2,11,FBgn0028852 embryo
4,5,FBgn0028852 embryo
8,6,FBgn0028852 embryo
7,12,FBgn0028852 embryo
12,11,FBgn0028852 embryo
9,10,FBgn0028852 embryo
7,12,FBgn0028852 embryo
7,24,FBgn0028852 embryo
10,16,FBgn0028852 embryo
1,3,FBgn0028852 embryo
3,8,FBgn0028852 embryo
13,10,FBgn0028852 embryo
5,14,FBgn0028852 embryo
15,6,FBgn0028852 embryo
5,15,FBgn0028852 embryo
4,16,FBgn0028852 embryo
5,10,FBgn0028852 embryo
3,6,FBgn0028852 embryo
0,3,FBgn0028852 embryo
11,10,FBgn0028852 embryo
7,15,FBgn0028852 embryo
7,5,FBgn0028852 embryo
7,17,FBgn0028852 embryo
8,12,FBgn0028852 embryo
1,5,FBgn0028852 embryo
63,35,FBgn0030647 inheritance
14,6,FBgn0030647 inheritance
35,5,FBgn0030647 inheritance
19,6,FBgn0030647 inheritance
1,0,FBgn0030647 inheritance
59,27,FBgn0030647 inheritance
52,21,FBgn0030647 inheritance
63,18,FBgn0030647 inheritance
47,17,FBgn0030647 inheritance
51,9,FBgn0030647 inheritance
41,9,FBgn0030647 inheritance
53,13,FBgn0030647 inheritance
32,6,FBgn0030647 inheritance
16,6,FBgn0030647 inheritance
17,10,FBgn0030647 inheritance
94,8,FBgn0030647 inheritance
43,12,FBgn0030647 inheritance
62,20,FBgn0030647 inheritance
17,3,FBgn0030647 inheritance
26,16,FBgn0030647 inheritance
25,4,FBgn0030647 inheritance
63,39,FBgn0030647 inheritance
44,14,FBgn0030647 inheritance
51,18,FBgn0030647 inheritance
8,35,FBgn0030647 Gresistance
0,11,FBgn0030647 Gresistance
0,21,FBgn0030647 Gresistance
0,11,FBgn0030647 Gresistance
0,0,FBgn0030647 Gresistance
2,34,FBgn0030647 Gresistance
8,16,FBgn0030647 Gresistance
5,32,FBgn0030647 Gresistance
