Group 1,Group 2,Experiment
78,7,ubiF inheritance
61,15,ubiF inheritance
34,5,ubiF inheritance
47,22,ubiF inheritance
61,63,ubiM inheritance
13,7,ubiM inheritance
16,24,ubiM inheritance
68,69,ubiM inheritance
32,35,ubiM inheritance
48,26,ubiM inheritance
64,62,ubiM inheritance
79,61,ubiM inheritance
70,39,ubiM inheritance
65,46,ubiM inheritance
29,21,ubiM inheritance
41,32,ubiM inheritance
50,16,ubiM inheritance
27,47,ubiM inheritance
48,25,ubiM inheritance
42,31,ubiM inheritance
19,24,ubiM inheritance
55,28,ubiM inheritance
19,20,ubiM inheritance
58,58,ubiM inheritance
52,34,ubiM inheritance
31,29,ubiM inheritance
42,39,ubiM inheritance
91,57,ubiM inheritance
31,40,ubiM inheritance
37,24,ubiM inheritance
60,11,vasF inheritance
76,13,vasF inheritance
62,11,vasF inheritance
78,23,vasF inheritance
67,16,vasF inheritance
52,18,vasF inheritance
51,24,vasF inheritance
80,49,vasM inheritance
51,16,vasM inheritance
82,48,vasM inheritance
50,19,vasM inheritance
104,23,vasM inheritance
68,45,vasM inheritance
78,58,vasM inheritance
77,53,vasM inheritance
78,25,vasM inheritance
57,9,zpgF inheritance
46,9,zpgF inheritance
69,9,zpgF inheritance
78,9,zpgF inheritance
60,19,zpgF inheritance
46,7,zpgF inheritance
76,13,zpgF inheritance
59,31,zpgF inheritance
65,19,zpgF inheritance
36,8,zpgF inheritance
25,11,zpgM inheritance
60,22,zpgM inheritance
69,32,zpgM inheritance
32,25,zpgM inheritance
69,23,zpgM inheritance
62,39,zpgM inheritance
68,19,zpgM inheritance
64,11,zpgM inheritance
29,13,zpgM inheritance
